10:56:16.002 [main] INFO  com.excel.MedicoSgAppApplication - Starting MedicoSgAppApplication on DESKTOP-62ROT5I with PID 13892 (started by CCS in C:\Users\CCS\Desktop\Company Softwere\CodeOne\21-11-2025\WMS_SG_AFTER_PENETRATION\WMS-sg-app)
10:56:16.026 [main] INFO  com.excel.MedicoSgAppApplication - The following profiles are active: ngportaldev
10:56:18.599 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
10:56:19.154 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 548ms. Found 8 repository interfaces.
10:56:19.592 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$aecb89fc] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:56:19.600 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:56:19.602 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@1a21d49' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:56:19.604 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$d3a02cae] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:56:19.607 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:56:19.627 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$161dc1c2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:56:20.168 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8100 (http)
10:56:20.190 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8100"]
10:56:20.202 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
10:56:20.202 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.16]
10:56:20.213 [main] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files (x86)\Java\jdk1.8.0_202\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:/Users/CCS/Desktop/spring-tool-suite-4-4.26.0/sts-4.26.0.RELEASE//plugins/org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.4.v20240802-1551/jre/bin/server;C:/Users/CCS/Desktop/spring-tool-suite-4-4.26.0/sts-4.26.0.RELEASE//plugins/org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.4.v20240802-1551/jre/bin;C:\Program Files (x86)\Java\jdk1.8.0_202\bin;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\Microsoft SQL Server\160\DTS\Binn\;C:\Users\CCS\Desktop\Company Softwere\Siddhesh WorkSpace\flutter\bin;C:\Users\CCS\Desktop\Company Softwere\Siddhesh WorkSpace\platform-tools;C:\Program Files\Git\cmd;C:\Program Files (x86)\Java\jdk1.8.0_202\bin;C:\Users\CCS\AppData\Local\nvm;C:\nvm4w\nodejs;C:\Tools;C:\Program Files\MySQL\MySQL Shell 8.0\bin\;C:\Users\CCS\AppData\Local\Microsoft\WindowsApps;C:\Users\CCS\AppData\Local\Programs\Microsoft VS Code\bin;C:\Users\CCS\AppData\Roaming\npm;C:\Program Files\gs\gs10.06.0\bin;C:\Program Files\MySQL\MySQL Shell 8.0\bin\;C:\Users\CCS\AppData\Local\Microsoft\WindowsApps;C:\Users\CCS\AppData\Local\Programs\Microsoft VS Code\bin;C:\Users\CCS\AppData\Roaming\npm;C:\Users\CCS\AppData\Local\nvm;C:\nvm4w\nodejs;C:\Users\CCS\Desktop\spring-tool-suite-4-4.26.0\sts-4.26.0.RELEASE;;.]
